Distance(Rp) He1_fraction He3_fraction He_ion_fraction He1(atomos/cm^3) He3(atomos/cm^3) He+_ion(atomos/cm^3)
1.0 1.0 0.0 0.0 1280086064.2442825 0.0 0.0
1.02 0.9997195455526 1.586709592649e-21 0.0002804544473999915 1062682200.4209627 1.6866410673337898e-12 298117.55767576623
1.04 0.9990339031609 4.028216706727e-19 0.0009660968390999831 888166776.5651997 3.5811880221482244e-10 858884.881402334
1.06 0.997505030177 3.811468680514e-17 0.002494969822999977 746698933.2852072 2.8531380914287464e-08 1867651.0383935515
1.08 0.9945148949245 1.738493669632e-15 0.005485105075498303 630843981.2110765 1.1027670610646448e-06 3479330.0139070526
1.1 0.9893129538063 4.419015677e-14 0.010687046193655788 534979978.0995887 2.3896229206416203e-05 5779117.433602998
1.12 0.9811177389385 6.960837683904e-13 0.018882261060803956 454873483.2185258 0.00032272380344706655 8754341.623730263
1.1400000000000001 0.9692447578284 7.380812453848e-12 0.03075524216421916 387356173.0441363 0.002949722702121887 12291253.380074276
1.16 0.9532253736153 5.626250816839e-11 0.04677462632843747 330065652.06012833 0.019481564338458848 16196272.116016148
1.18 0.9328876319424 3.250173022021e-10 0.06711236773258271 281234431.72081137 0.09798185028342465 20232135.09799901
1.2 0.9083867870841 1.484187076935e-09 0.09161321143171289 239521827.61474648 0.39134783359277014 24156410.185376793
1.22 0.8801922887854 5.538271643409e-09 0.11980770567632834 203886561.68032968 1.2828778181918787 27752096.313935217
1.24 0.8490506438386 1.731600917214e-08 0.15094933884539086 173496314.17448458 3.538379941619775 30845220.019324407
1.26 0.8159460362662 4.617332714248e-08 0.18405391756047287 147667743.6366123 8.356325948375236 33309588.509070307
1.28 0.7820743952017 1.062232550658e-07 0.21792549857504498 125828838.92833868 17.09038031947236 35062281.32108221
1.3 0.7488307453787 2.124679292922e-07 0.2511690421533707 107494809.01361798 30.499815374479116 36055368.163009636
1.32 0.7177760502085 3.722097444591e-07 0.28222357758175554 92247854.09224662 47.836020982591506 36271089.566991135
1.34 0.6905115479089 5.769068636668e-07 0.3094878751842363 79712377.7062284 66.59789826424546 35727156.88375231
1.36 0.6684123738532 8.025855817564e-07 0.33158682356121827 69525963.2889478 83.4822003245701 34490524.44842872
1.3800000000000001 0.6522944101326 1.019966744221e-06 0.34770456990065574 61318842.820786655 95.88182805154358 32685918.411401656
1.4000000000000001 0.6421952194563 1.206173328716e-06 0.3578035743703713 54715251.3951525 102.76637836497436 30484986.385189384
1.42 0.6374018257152 1.350316054267e-06 0.36259682396874576 49355475.55746426 104.55804850644502 28076698.18410568
1.44 0.6366987704346 1.452335611923e-06 0.36329977722978807 44923725.2719256 102.47283183557605 25633439.455965146
1.46 0.6386965507905 1.518727471746e-06 0.36130193048202824 41166801.409804605 97.88866426098781 23287498.269285966
1.48 0.6421047637383 1.558382494643e-06 0.3578936778792053 37897885.5870503 91.9778279466449 21123365.566748448
1.5 0.6458878197909 1.579872837913e-06 0.35411060033626207 34988513.39089547 85.58359555863208 19182593.481534332
1.52 0.64931028059 1.590185272831e-06 0.3506881292247272 32355047.01896604 79.2387257823232 17474743.969476644
1.54 0.6519108460967 1.594424196945e-06 0.348087559479103 29944892.310861435 73.23832877029261 15989064.372471219
1.56 0.6534446996392 1.596008191445e-06 0.3465537043526085 27725217.407693304 67.71754995748609 14704039.686790263
1.58 0.6538211271486 1.597040073576e-06 0.34617727581132646 25674891.327052888 62.714140965183326 13594029.87650925
1.6 0.6530498503792 1.598681548708e-06 0.34694855093925125 23779265.67559422 58.2122073151443 12633310.862495933
1.62 0.6512002794122 1.601464121361e-06 0.3487981191236786 22027062.12013061 54.17004691125177 11798210.289861934
1.6400000000000001 0.6483730702722 1.605521680685e-06 0.3516253242061193 20408655.804367825 50.5365519789313 11068010.907376556
1.6600000000000001 0.6446815447555 1.610753398615e-06 0.3553168444911014 18915210.43888424 47.26013913040712 10425136.163279554
1.68 0.6402402827768 1.616932470552e-06 0.35975810029072947 17538296.36660669 44.29312187345879 9854962.8208662
1.7 0.6351586025827 1.623775828387e-06 0.36483977364147163 16269761.939826524 41.59346352875905 9345470.940943558
1.72 0.6295372097072 1.630987060118e-06 0.3704611593057399 15101724.424539175 39.12511721641868 8886849.341967667
1.74 0.6234668108784 1.638281561026e-06 0.37653155084003903 14026607.343303852 36.85766711769439 8471116.86435634
1.76 0.6170278902126 1.645400223054e-06 0.38297046438717697 13037187.24923834 34.76567453134468 8091786.018656427
1.78 0.6102911321748 1.652115916495e-06 0.38970721570928346 12126633.236222772 32.827945101654514 7743577.163861618
1.8 0.6033181708407 1.658235562449e-06 0.3966801709237375 11288533.29136335 31.026825075637806 7422182.078912832
1.82 0.5961624728073 1.663599602993e-06 0.40383586359309703 10516906.930537295 29.34757384504384 7124071.6857308205
1.84 0.5888702424788 1.668080015185e-06 0.4111280894411848 9806205.888756255 27.77782758892365 6846341.351433456
1.86 0.5814812890585 1.67157758503e-06 0.41851703936391493 9151305.402562713 26.30715256454073 6586587.247883448
